Elevation (m)Up country,Mis country,Low country,Days,Mean Annual RF(mm),Soil depth(cm),Soil texture,Stones and gravels(%),Soi drainage class,Soil pH,Slope angle(%),Past erosion,Rock outcrops(%),Class of Land Unit
1300,0,0,320,2600,75,L,9,WD,5.5,20,slight,0,1
1790,0,0,350,2550,72,L,5,WD,5,23,slight,0,1
1220,0,0,325,2555,77,C,5.5,WD,5.1,24,nil,1,1
1240,0,0,305,2554,85,LC,4,WD,5.3,22,slight,5,1
1260,0,0,315,2558,80,C,6,WD,5.5,24,slight,2,1
1280,0,0,310,2560,74,L,5.2,WD,5.2,22,nil,4,1
1320,0,0,345,2563,71,L,6.7,WD,5.4,32,slight,0,1
1340,0,0,330,2565,82,C,8,WD,5.5,29,slight,6,1
1360,0,0,350,2568,84,C,8.8,WD,5,34,nil,0,1
1380,0,0,312,2570,93,LC,9,WD,5.1,31,slight,0,1
1400,0,0,355,2575,95,LC,9.5,WD,5.3,37,slight,0,1
1420,0,0,348,2572,96,L,9.6,WD,5.5,36,nil,4,1
1440,0,0,334,2578,73,C,4.8,WD,5.2,27,nil,2,1
1460,0,0,328,2580,75,C,7.5,WD,5.4,29,slight,5,1
1480,0,0,332,2582,88,LC,8.3,WD,5.5,40,slight,0,1
1500,0,0,335,2585,83,L,9.2,WD,5,28,nil,0,1
1520,0,0,340,2590,84,L,5.5,WD,5.1,26,slight,0,1
1540,0,0,346,2588,95,C,5.8,WD,5.3,30,slight,0,1
1560,0,0,325,2592,98,LC,4.6,WD,5.5,28,nil,0,1
1580,0,0,313,2595,76,C,6.5,WD,5.2,35,slight,0,1
1600,0,0,344,2597,78,C,7,WD,5.4,27,slight,6,1
1680,0,0,308,2600,90,LC,6,WD,5.5,32,nil,1,1
1620,0,0,314,2632,92,L,8,WD,5,29,slight,0,1
1640,0,0,318,2605,79,C,9,WD,5.1,34,slight,3,1
1660,0,0,337,2615,74,L,5,WD,5.3,31,nil,5,1
1700,0,0,302,2620,86,L,4,WD,5.5,37,slight,0,1
1720,0,0,317,2635,93,C,5.5,WD,5.2,36,slight,0,1
1740,0,0,336,2625,82,LC,9,WD,5.4,27,nil,0,1
1760,0,0,340,2650,85,C,5,WD,5.5,29,nil,1,1
1780,0,0,350,2640,74,L,5.5,WD,5,40,slight,5,1
0,450,0,320,2600,72,L,4,WD,5.1,28,slight,2,1
0,460,0,350,2550,80,C,6,WD,5.3,26,nil,4,1
0,480,0,325,2555,90,C,5.2,WD,5.5,30,slight,0,1
0,500,0,305,2554,99,LC,6.7,WD,5.2,28,slight,6,1
0,520,0,315,2558,92,LC,8,WD,5.4,35,nil,0,1
0,540,0,310,2560,94,L,8.8,WD,5,27,slight,0,1
0,560,0,345,2563,84,C,9,WD,5.5,32,slight,0,1
0,580,0,330,2565,76,C,9.5,WD,5,29,nil,4,1
0,600,0,350,2568,74,LC,9.6,WD,5.1,34,slight,2,1
0,620,0,312,2570,78,L,4.8,WD,5.3,31,slight,5,1
0,640,0,355,2575,79,L,7.5,WD,5.5,37,nil,0,1
0,660,0,348,2572,80,C,8.3,WD,5.2,36,slight,0,1
0,680,0,334,2578,95,LC,9.2,WD,5.4,27,slight,0,1
0,700,0,328,2580,96,C,5.5,WD,5.5,29,nil,0,1
0,720,0,332,2582,75,C,5.8,WD,5,40,nil,0,1
0,740,0,335,2585,72,LC,4.6,WD,5.1,28,slight,0,1
0,760,0,340,2590,77,L,6.5,WD,5.3,26,slight,6,1
0,780,0,346,2588,85,C,7,WD,5.5,30,nil,1,1
0,800,0,325,2592,80,L,6,WD,5.2,28,slight,0,1
0,820,0,313,2595,74,L,8,WD,5.4,35,slight,3,1
0,840,0,344,2597,71,C,9,WD,5.5,27,nil,5,1
0,860,0,308,2600,82,LC,5,WD,5,32,slight,0,1
0,880,0,314,2632,84,C,4,WD,5.1,29,slight,0,1
0,900,0,318,2605,93,L,5.5,WD,5.3,34,nil,0,1
0,920,0,337,2615,95,L,9,WD,5.5,31,slight,1,1
0,940,0,302,2620,96,C,5,WD,5.2,37,slight,5,1
0,960,0,317,2635,73,C,5.5,WD,5.4,36,nil,2,1
0,980,0,336,2625,75,LC,4,WD,5.5,27,slight,4,1
0,1000,0,340,2650,88,LC,6,WD,5,29,slight,0,1
0,1020,0,350,2640,83,L,5.2,WD,5.1,40,nil,6,1
0,1040,0,320,2600,84,C,6.7,WD,5.3,28,nil,0,1
0,1060,0,350,2550,95,C,8,WD,5.5,26,slight,0,1
0,1040,0,325,2555,98,LC,8.8,WD,5.2,30,slight,0,1
0,1060,0,305,2554,76,L,9,WD,5.4,28,nil,4,1
0,1080,0,315,2558,78,L,9.5,WD,5.5,35,slight,2,1
0,1100,0,310,2560,90,C,9.6,WD,5,27,slight,5,1
0,1120,0,345,2563,92,LC,4.8,WD,5.1,32,nil,0,1
0,1120,0,330,2565,79,C,7.5,WD,5.3,29,slight,0,1
0,1160,0,350,2568,74,C,8.3,WD,5.5,34,slight,0,1
